what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1424683589425
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1424683589426
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1424683589427
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1424683589428
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424683589428
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1424683589478
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424683589480
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1424683589481
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1424683589483
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1424683589486
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1424683589524
os,sysinfo,,,"win32",1424683589536
arch,sysinfo,,,"x86_64",1424683589536
ws,sysinfo,,,"win32",1424683589536
locale,sysinfo,,,"fr_FR",1424683589536
processors,sysinfo,,,"4",1424683589536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424683589536
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1424683589536
java.specification.name,sysinfo,,,"Java Platform API Specification",1424683589536
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424683589536
java.specification.version,sysinfo,,,"1.8",1424683589536
java.vendor,sysinfo,,,"Oracle Corporation",1424683589536
java.version,sysinfo,,,"1.8.0_31",1424683589536
java.vm.info,sysinfo,,,"mixed mode",1424683589536
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1424683589536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424683589536
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424683589536
java.vm.specification.version,sysinfo,,,"1.8",1424683589536
java.vm.vendor,sysinfo,,,"Oracle Corporation",1424683589536
java.vm.version,sysinfo,,,"25.31-b07",1424683589536
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1424683589570
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1424683589632
